cm_key,mvar2,mvar3,mvar4,mvar5
70001,2,0,8,52
70002,0,53460,2,56
70003,0,109058,4,63
70004,0,53460,4,44
70005,1,183546,5,250
70006,1,172141,2,40
70007,2,0,3,36
70008,1,0,3,88
70009,0,74844,4,341
70010,0,0,4,1
70011,11,187110,1,348
70012,0,400950,1,169
70013,0,183546,4,9
70014,3,0,2,25
70015,3,53460,8,24
70016,1,117077,2,12
70017,1,0,3,228
70018,3,0,3,76
70019,0,0,7,227
70020,0,0,4,29
70021,0,0,4,29
70022,0,53460,1,23
70023,0,0,2,6
70024,2,0,1,11
70025,0,136323,3,276
70026,2,80190,3,355
70027,0,5346,6,95
70028,1,0,3,120
70029,6,106920,5,21
70030,0,153430,12,1
70031,1,0,10,8
70032,4,0,2,36
70033,4,0,2,12
70034,0,0,5,26
70035,3,0,4,16
70036,0,192456,5,11
70037,0,0,2,7
70038,2,51678,6,1
70039,3,0,2,42
70040,0,0,12,61
70041,1,0,3,12
70042,0,0,4,9
70043,0,176418,2,43
70044,1,0,2,9
70045,0,0,5,33
70046,0,0,1,355
70047,0,151470,4,290
70048,0,0,2,323
70049,4,0,1,274
70050,4,0,2,82
70051,1,0,2,14
70052,1,0,2,14
70053,2,0,3,112
70054,5,434629,4,41
70055,1,16038,7,252
70056,4,331452,3,3
70057,1,9088,0,34
70058,1,0,1,35
70059,2,80190,1,41
70060,1,7128,2,1
70061,2,0,4,7
70062,4,13365,5,4
70063,1,0,4,355
70064,0,0,1,116
70065,2,5346,1,130
70066,1,0,5,290
70067,5,235224,8,94
70068,0,0,2,203
70069,4,115830,4,9
70070,1,0,2,284
70071,0,0,1,168
70072,0,10692,2,53
70073,4,0,2,217
70074,0,0,3,22
70075,4,106920,2,49
70076,0,0,2,51
70077,4,98366,7,135
70078,1,37422,3,100
70079,1,0,3,40
70080,0,0,3,8
70081,0,0,1,89
70082,3,133650,2,7
70083,0,0,0,4
70084,0,0,4,14
70085,1,165726,2,40
70086,0,3564,2,89
70087,0,0,4,116
70088,0,0,7,28
70089,1,0,2,11
70090,4,0,2,276
70091,1,0,4,3
70092,0,0,1,39
70093,0,6237,3,27
70094,0,0,5,24
70095,0,26730,2,237
70096,1,0,6,15
70097,0,0,4,2
